abejaip	dvejaip	abejopai	dvejopai
apsergėti	apsaugoti	apginti
užsemti	užplūsti	užlieti	apsemti	užpilti	aptvindyti	užtvindyti
apsiaustuvas	dulkius	paltas	apsiautalas	lietinis	apsiaustas	rudinė	dulkinis	lietpaltis	trinyčiai	milinė
apsupti	apsiausti	apgobti	apgaubti	apklėsti
apgulti	apsupti	apsiausti	apstoti	apspiesti
apsidairyti	apsižiūrėti	apsiveizėti	apsižvalgyti
pasižadėti	apsiimti	sutikti
gagrė	milvelis	veltena	raistas	nevala	nevaleika	neveša	luotas	nevėkšlis	luobas	lederga	kelmas	stuobrys	laužas	migla	nevaleiva	kiautena	smukčius	grybmalis	išgverėlis	apsileidėlis	šlamkus	putrius	milas	molmynys	apkiautėlis	pliumpis	pliūtvaras	apsmukėlis	lamūža	riauba	liuozgis	kiūtena	liaušys	nevėkšla
keras	kerė	kelmas	kerplėša	šiekštas	kelmokšnis	kirna
maukna	luobas	karna	draska	plaušas	lunkas	lupa	malkna	plėša
apsilaužti	apsileisti	išgverti	apkiausti	apsiminti	apviržti	apsmukti
apsiversti	apsišaukti	pasidengti	simuliuoti	būtis	apsimesti	dėtis	užvaizduoti	vaizduoti	apsimerlinti	rodytis	tartis	nuvaizduoti
tiktis	vykti	darytis	dėtis	rastis
konsultuotis	akcentas	tarautis	tarstytis	tartis
apsimetėlis	prisimetėlis	simuliantas
padūmuoti	apsiblęsti	apsidrumsti	apsidebesuoti	apsiūkti	apsiblausti	apniukti	apsiniaukti	apsiraugti	apsidumbluoti	apniūkti
apjunkti	apsikęsti	apsikulti	apgusti	apsitupėti	apsibūti	apsitrenkti	apsiprasti
cipas	apsiuva	apdiegas	medvėžis
apsiūti	atsiūlėti	apdaigstyti	atmėtyti	apmėtyti	atidaigstyti	apsiūlėti	apkraštuoti
stulgus	apvalus	apsukurtinas	apridus	aptakus	apskritas
lankas	apskritimas	ratas	ratanas	ratilas	žiedas	vainikas
ratas	tekinis
vežlankis	lankas	kilpinis	kampinas	kinkytinis	kinklankis	temptinis	kampas
vainikas	plonis	karūna
įduoti	apskųsti	įskųsti	liežuvį-įkišti	įrodyti
įsukti	įteikti	įbrukti	įduoti	užkarti	primesti	įkišti
susnūsti	apsnūsti	suružti	apsmurgti	sušniurti	apsisnausti	apsiblausti	apsimerkti
apnikti	apspisti	apipulti	apšokti
apsukrus	skudrus	nepėsčias	verslus	sukrus	verslingas	aprėpnus	verstas
apsuptis	apsiaustis	apsiautimas	katilas	apgultis	apsupimas	apgula	apgulimas
apsvaiginti	prisvaiginti	pritrenkti	apkvaitinti	apkvošinti	apkvaišinti
apdvokti	apkvošti	apkvaišti	apsvaigti	apduiti	prisvaigti	apkvaisti
apibaubėti	apgargėti	apšalti	apiburbėti	apledėti
nurupti	nurubti	apšašti	nukrupti	nušašti	apkrupti	apkramti	nukramti	nupugti	apšokti
apšlubti	apraišti	apruišti
aptrėkti	apdergti	apibjauroti	apteršti	apibjaurinti	apdirbti
aptykti	aprimti	apmalšti	apščiūti	aptilti
apdiržti	aprembėti	aptingti
apmušti	aptempti	padengti	apkaustyti	apkalti	apsegti	aptraukti	aplenkti	apvilkti
gardas	apluokas	kluoniena	užtvaras	kluonas	žardiena	žardis	gardinys	aptvaras
klaimas	klojimas	daržinė	kluonas	jauja	reja
uvas	žiūras	apuokas	išminčius	yvas
apsiuvas	apkraštys	apyrumbė	apvadas	valinys	bordiūras
apsėklinti	apvaisinti
apvalainis	ovalas
įvalktis	aptraukas	apvalkalas	apmovas	apmovalas	antvalkas	antvalkalas	apmautas	užvalktis	antnartis	įvalkalas	aptraukalas	apvalkas	viršus	užvalkas	užvalkalas	antvalktis	apvalktis
apverkti	apraudoti
apšvarinti	apkraustyti	apkuopti	apdžiauti	apdykinti	aptuštinti	apvalyti	apkropti	apvogti
apžėlėlis	želvys	apželvys	kerplėša	samanius	apšepėlis	žėlūnas
bene	beg	be	ar	begu	bau
senybė	archaizmas	senžodis
suėmimas	sulaikymas	suimtis	areštas
šaltoji	areštinė	daboklė	belangė	cypė
areštuoti	suimti	sučiupti	sulaikyti	sugriebti
sulaikyti	suturėti	sustabdyti
arkliauogė	pelenė	meškauogė	lokžolė	kiauliauogė	miltinė	kiauliabruknė
arklidė	arkliatvartis	arklininkas
arpas	vėtytuvas
arsenalas	ginkludė	ginklinė
po-nosimi	greta	netoli	artutėliai	po-ranka	netoliese	plėšti	riekti	čia-pat	artimai	artiese	arti
greta	šalimais	grečium	pašal	gretomis	blaka	arti	šalip	šalia	gretimai
artimas	netolimas	artus
miega	aruodas
asilėnas	asilarklis	mulas
kežėtys	triaušis	driežgegužė	barzdis	asiūklis	triaukšlys	ožkabarzdis	asys
atšlaimas	plonas	laitas	klojimas	kluonas	plūktas	asla	žemė	grinda	grendymas	padas
leilas	laibas	plonas	draikas	klienas	kaip-šiaudas	kalybas	leinas	lieknas	slaikus	kaip-siūlas	kaip-silkė	tęvas
individualus	individualinis	asmeniškas	asmeninis	personalinis
asmuo	žmogysta	individas	asmenybė	žmogus	persona	subjektas	ypata
ašaka	akuotas
polius	ašigalis
audeklas	asnis	ašmenys	akuotas
dantinti	aštrinti	šleikti	plakti	pustyti	brukštyti	delnyti	skudrinti	galąsti	kalti	tinti
tuksėti	tvakčioti	pulsuoti	plazdėti	tuksenti	tvaksėti	mušti	plakti	tuksnoti
milžtis	bambti	brįsti	tulžti	pursti	burbti	brinkti	pusti	tvinkti	bliurkti	pampti	tinti	burkti
mušnoti	bubyti	mušti	plakti	kalti	varyti
pustyti	sneigėti	vėpūtuoti	pūgoti
skudrus	kandus	skabus	aštrus	ašmeningas
kramtus	kandus	kandlus
aštuntas	ašmas
audmenys	ataudai	atbrukai
atauginti	atželdinti
atželti	ataugti
ataušinti	atšaldyti	atvėsinti
atšalti	ataušti	atvėsti
atgalias	atbulas	atatupstas	atkalas	atpakalias	atžagarias	atstubas
rytojus	ateitis	rytdiena
rytojus	rytinė	rytdiena
atėjuonis	atsikėlėlis	imigrantas	atsiplakėlis	atklajūnas	atsiplovėlis	atsibastėlis	atėjūnas	atsibaldėlis	atsikraustėlis	ateiva	ateivis
atgabenti	atkraustyti	atitrinkinti	atbugdyti	atrioglinti	atgarbinti	pristatyti	atgriozdinti	atbraškinti	atbildinti	atidundinti	atgriozdoti	atidanginti	atboginti
apent	atpent	atgal	atpakal	atpėdžiui	atgalios
reproduktyvus	atgamus
atsigauti	atgyti	atsipeikėti	atkusti
atsijokėti	atgyti	atsimosti	atsikvošėti	atsigauti	atsipeikėti	atsitervėti	atsigosti	atsitokėti	atsigodėti	atsikluinėti	atitokti	atsikvošti
atrūgos	archaizmas	seniena	atgyvena	anachronizmas
nugrasinti	atbaidyti	atgrėsti	nubaidyti	atgrasinti	nugrėsti
atvožti	atverti	atidengti	atversti	atčiaupti	atplėšti	atskleisti	atkelti	išžioti	išviepti	atmerkti	atlapoti	atidaryti
atidėti	nukelti
paveržti	konfiskuoti	pamušti	atmušti	išplėšti	atimti
konfiskuoti	nusavinti	rekvizuoti
ekvivalentas	lygmuo	atitikmuo
atliepti	prilygti	atitikti	atsakyti
atžerti	atsakyti	atkepti	replikuoti	atrėžti	atkirsti	atšauti
nusišalinti	atsiplėšti	atpulti	atsilaisvinti	atspėti	atitrūkti	atsiskirti	atsipalaiduoti
įminti	įspėti	numinti	atminti	nuspėti	atspėti
kietakaktis	kietasprandis	uvėrus	atkragus	atkaklus	skersas	atkarus	atstangus	užsispyręs	atšakus
atmonyti	atgiežti	atpėtuoti	atsigauti	atkeršyti	atsigriebti	atmokėti
atpuolis	atkrytis	atokrytis	recidyvas
atstatyti	atgaminti	reprodukuoti	atkurti
perprašos	sugrįžtuvės	atameilės	atgrąžtai	atgrįžtuvės	grįžtuvės	apmaldai	atlankai	atmeilės	sugrąžtai	atmaldai
atkragus	atkarus	atmatus	atlašus
pašalinti	atsakyti	atleisti	išvaryti	nušalinti	išmesti
nuliekamas	atliekamas	liekas	nuolaikus	nuoliekus	atlaikus
atlipinti	atkibyti	atlipdyti	atklijuoti
atsilupti	atkibti	atlipti	atsiklijuoti
atkristi	atkerti	atkepti	atsilaupti	atvipti	atlipti	atkusti	atsiviepti	atšokti	atsilupti	atsiknoti
atmokestis	atlyginimas	alga	apmoka	atpildas	honoraras	atlygis	atmoka	atpelnas	kompensacija	užmokestis	moka	premija
kompensuoti	padengti	premijuoti	užmokėti	atpildyti	atlyginti	atpelnyti	apmokėti	atmokėti
užlošti	atversti	atlošti	užmesti	užversti	atriesti	užriesti	atmesti	atkraginti
atvėpti	atlaupti	atidrėksti	atplėšti	atknoti	atmaukti	atlupti
atmenus	omeningas	atmintingas
atmintinas	minėtinas	įsimintinas	nepamirštamas
galva	omenis	atmintis
buožė	smegeninė	kuogė	kramė	makaulė	kaušė	smagalvė	apuokas	kramaulė	labuonė	makauza	guogė	galva	kvaukė
rekonstruoti	restauruoti	atnaujinti	atšviežinti
atodaira	atžvalga	atožiūra	atžvilga	retrospekcija
atkrytis	atlyda	atadrėkis	atpuolis	atdrėkys	atomėtis	atolaidis	kreiva-vėžė	atlyža	atolydis	atlėga	atodrėkis	atlydys	atšylis	atošylis	atmėtys
atodūsis	atodvėstis	atdūsis	podūsis	atokvėpis	atdūksis
atogrąžos	tropikai
atkaita	priesaulis	įkaita	saulėkaita	atokaita	atsaulis	įsaulis	saulė
antražolė	atolas	ataugas	atagonis
atotvynis	nuoslūgis	nuoplūdis	nuolaja	atoslūgis
atosmūgis	kontrsmūgis
vakacijos	atstogos	atostogos
atnarpulti	atraizgyti	atnarpučyti	atpinklioti	atpantaroti	atnabrinti	atnyprioti	atvinklioti	atpeselioti	atpainioti	išpainioti	atnarplioti
išpinklioti	išnyprioti	išvinklioti	išnarpulinti	išnarpulti	išpeselioti	išraizgyti	išmastyti	išnarpučyti	išnabrinti	išpantaroti	išnarplioti	atpainioti	išpainioti	painioti
atgriežti	atkirpti	atriekti	atskriebti	atgrizinti	atpjauti	atdzirinti	atrėžti	atsklembti	atskverbti	atskiebti	atbrizinti
nugusti	atgristi	atprasti	nujunkti	atjunkti	atgusti	nugristi	nuprasti
nujunkyti	atgrisinti	atjunkyti	nugrisinti	atpratinti	atgudinti	nugudinti	nupratinti
paraityti	atraityti	užraitoti	atraitoti	paraitoti	užraityti
gramas	atraja	gromulys
atrajoti	gromuliuoti	ėdrauti
atlošas	atrama	atkaltė
atranka	selekcija
atrankus	selektyvus
atrišti	atmegzti
nuosauga	atsarga	saugulys	apdaira
atsargus	apžvalgus	apdairus	apvaizdus	pasaugus	apžiūrus
atsibaldyti	atsitrenkti	atsidaužti	atsibelsti	atsikrapštyti	atsivelti	atsiplauti	atklysti	atsikulti	atsibastyti	atvykti
atkliūti	atkeliauti	atkakti	atsigauti	atkilti	atžygiuoti	vykti	atvykti	atsprūsti	atsikasti	atsiklausti	atsirasti
pasišvęsti	pasiaukoti	atsiduoti	pasiskirti	atsidėti
nusekti	atsigimti
atsikreipti	atsisukti	atsigręžti
atsigulti	išsitiesti	parkristi	parvirsti	atsidrėbti
išsitiesti	parpulti	išgriūti	kebėkštelėti	išvirsti	parkristi	virstelėti	parvirsti	virtinkštelėti	brinktelėti	pargriūti	kiškį-pagauti
atsikvenkšti	atsikosėti	atsikrankšti	atsikrenkšti	atsikrunkšti
atsipūtėti	atsipūsti	kvėptelėti	dustelėti	atsikvėpti	atsidūsėti	atsikvapstyti	atsidusti	atsidvėsti
atkristi	atsileisti	atslūgti	plyšti	nukristi	atlėgti	atsimėtėti	trūkti	sprogti	atlyžti	atsimesti
pūptelėti	šlumštelėti	nudribti	nukristi	nulėkti	babtelėti	nupulti	pumptelėti	būbtelėti
plyšti	dubti	skilti	trūkti	pokštelėti	driksti	sprogti	dryžti
atsiliepti	atsišaukti
nespėti	atsilikti
atsiteisti	atsiskaityti	atlyginti	atsilyginti	atsimokėti	atsipelnyti
atsiminimai	reminiscencijos	memuarai
atsidaužti	atsimušti	atsitrenkti
išsižadėti	atsisakyti	atsimesti	atsižadėti
vientulys	atsiskyrėlis	atskyduolis	vienišius	eremitas	vienuolis	vienužis	atskyruolis
proklamacija	lapelis	atsišaukimas
epizodas	sensacija	notis	atsitikimas	įvykis	incidentas	nuotykis	avantiūra	nusidavimas	nutikimas	kuriozas	istorija
atsitikti	nutikti	įvykti	nusiduoti	pasitaikyti	rastis
pasitaikyti	atsieiti	tekti
atvejinis	atsitiktinis	proginis	sporadiškas
atsižiūrėti	skaitytis	paisyti	atsižvelgti	respektuoti
atskarti	skarti	atrykšti	atbrigzti	atspuryti	atskutoti	atbraizgėti	atspurti
skvesti	kedyti	braizgoti	spuryti	spurti	skisti	skarti	rykšti	skidyti	braizgėti	blįsti	brigzti	skurti	rigzti	kedėti	erdėti	kisti	skutoti	šiurti
miešti	atmiešti	atliekuoti	atskiesti
paskidas	ypatus	sauskiras	paskiras	pavienis	atdalas	specialus	atskiras	atskidas
separuoti	atskirti	atidalyti	izoliuoti	atriboti	atitverti
atsklęsti	atšauti	atbraukti	atkišti
priereikšmis	tonas	atspalvis	niuansas	atšešėlis	priespalvis
atsparus	stangrus	tamprus	stangus	sparus	standus	stamantrus	atstangus	elastingas
priminti	įgraudinti	signalizuoti	įspėti	perspėti	įgraudenti	pertarti
atspindėti	atšviesti	atšvytėti	atblizgėti
atšvaistė	atblizgis	atošvaita	atošvaistė	atšviesulis	atspinduolis	atšvaitas	atspindys	refleksas
reprezentuoti	atstovauti
tarpas	distancija	tolumas	protarpis	nuotolis	intervalas	atstas	atokė	tolis	atstumas
progumas	tarpas	intervalas	protarpis
atkrimsti	atpjauti	atmušti	atšipinti	atkirsti	atbesti	atbukinti
atsikirsti	atbukti	prikapti	atsikąsti	atsibesti	atsipjauti	atšipti
atšvęsti	paminėti
atuoriečiai	vasaručiai	atuodogiai	vasariai
atklapas	atlošas	atlankas	atklastas	atlapas	atvartas
atviras	tiesus	tiesmukas	grynaširdis	atlapaširdis	atviraširdis	tiesiaširdis	tiesiakalbis
kilti	siekti	traukti	kakti	vykti	keliauti	leistis	gautis
ataugynas	atžalynas	atvašynas
atžvalgus	atdairus	retrospektyvus
aspektas	požvilgis	požiūris	žvilgsnis	atžvilgis
požvilgis	dirstelėjimas	žvilgis	žvilgsnis	žvilgtelėjimas
medžiaga	audeklas	manufaktūra	audimas	audinys
medžiaga	materialas
perkūnvėtrė	vydra	audra	vėtra	viesulas	umaras	štormas	taifūnas	švidras	uraganas	pasiutvėjis
vėtringas	vėtrotas	audrotas	audringas	siautingas	siautulingas	audrus
augmuo	sodinys	augalas	želdinys	augymė
augalija	augmenija	flora
ugdyti	ūginti	auginti	puoselėti
augmuo	antauga	navikas	auglys	tumoras	navikaulis
augti	šautis	tiestis	stybti	stiebtis	baubėti	stypti	stirpti	tįsti
auklė	nešiotė	bona	guvernantė
ugdyti	formuoti	auklėti
viršplūdė	palakstuonė	blaiva	aukšlė	viršvandenė	viršplaukė
aukšlys	luobelis	žievinukas	gerklutė	raukšlys	garnelis
augalotas	pakilus	kilus	atkilus	iškilus	kalvus	kalnus	didelis	išbėginis	aukštas	lieknas	anttrobis	ištakus	išlakus	viršunamė	išsmukas	augus	prasaikus	išdrikas	ištekinis	laibas	plonas	antnamė	antlubis	keltas	išnašus
keltas	pluostas	plaustas
aukštinis	kurtinys	dūminis	čiukuras
pana	aukštys	galvinis	dama
pakiluma	aukštuma	pakyla	iškiluma
šviesratis	aureolė	ratilas	nimbas
auslinda	žnyplys	žirklys	šakys
šaldyti	vėsinti	aušinti
vėsti	brėkšti	rytėti	dienoti	šalti	svisti	garuoti	blysti	švisti	aušti	aušroti
